TransactionID,CustomerID,Customer name,Product name,catogory,ProductID,TransactionDate,Quantity,TotalValue,Price,Region
T00982,C0103,Jennifer Munoz,HomeSense T-Shirt,Clothing,P034,7/17/2024 3:25,1,217.05,217.05,Europe
T00003,C0028,Jennifer Pena,ActiveWear Smartphone,Electronics,P057,1/25/2024 14:28,4,958.8,239.7,Asia
T00013,C0183,Kimberly Johnson,ActiveWear Smartphone,Electronics,P057,03-04-2024 22:09,4,958.8,239.7,North America
T00017,C0087,Travis Campbell,ActiveWear Smartphone,Electronics,P057,05-09-2024 03:52,4,958.8,239.7,South America
T00046,C0190,Alexander Lowe,ActiveWear Smartphone,Electronics,P057,7/28/2024 6:29,4,958.8,239.7,South America
T00091,C0200,Kelly Cross,ActiveWear Smartphone,Electronics,P057,4/27/2024 19:06,1,239.7,239.7,Asia
T00161,C0055,Lauren Williams,ActiveWear Smartphone,Electronics,P057,7/15/2024 7:02,2,479.4,239.7,North America
T00184,C0188,Anna Ball,ActiveWear Smartphone,Electronics,P057,5/13/2024 7:24,2,479.4,239.7,South America
T00218,C0148,Matthew Rogers,ActiveWear Smartphone,Electronics,P057,1/17/2024 19:40,3,719.1,239.7,South America
T00417,C0035,Brianna Richardson,ActiveWear Smartphone,Electronics,P057,4/20/2024 22:54,3,719.1,239.7,North America
T00492,C0120,Francisco Diaz,ActiveWear Smartphone,Electronics,P057,08-08-2024 05:40,3,719.1,239.7,South America
T00605,C0017,Jennifer King,ActiveWear Smartphone,Electronics,P057,12/31/2023 3:27,4,958.8,239.7,Europe
T00615,C0145,Wayne Stone,ActiveWear Smartphone,Electronics,P057,7/14/2024 7:45,2,479.4,239.7,Asia
T00619,C0028,Jennifer Pena,ActiveWear Smartphone,Electronics,P057,12/25/2024 9:53,2,479.4,239.7,Asia
T00703,C0092,Jacqueline Zamora,ActiveWear Smartphone,Electronics,P057,02-04-2024 00:31,3,719.1,239.7,Asia
T00962,C0188,Anna Ball,ActiveWear Smartphone,Electronics,P057,11/29/2024 19:49,2,479.4,239.7,South America
T00004,C0004,Kathleen Rodriguez,TechPro Textbook,Books,P049,7/19/2024 10:56,4,591.8,147.95,South America
T00105,C0087,Travis Campbell,TechPro Textbook,Books,P049,02-12-2024 08:14,3,443.85,147.95,South America
T00136,C0010,Aaron Cox,TechPro Textbook,Books,P049,2/22/2024 18:44,2,295.9,147.95,Europe
T00237,C0065,Gerald Hines,TechPro Textbook,Books,P049,2/27/2024 22:16,2,295.9,147.95,North America
T00239,C0132,Lisa Jackson,TechPro Textbook,Books,P049,12-06-2024 19:03,2,295.9,147.95,Europe
T00310,C0068,Mark Cox,TechPro Textbook,Books,P049,5/18/2024 5:03,2,295.9,147.95,North America
T00470,C0123,Jason Johnston,TechPro Textbook,Books,P049,11/13/2024 17:36,1,147.95,147.95,Asia
T00551,C0018,Tyler Haynes,TechPro Textbook,Books,P049,2/23/2024 13:28,3,443.85,147.95,North America
T00563,C0064,Martha Montgomery,TechPro Textbook,Books,P049,1/16/2024 18:52,1,147.95,147.95,Europe
T00567,C0121,Mark Atkinson,TechPro Textbook,Books,P049,9/27/2024 23:40,2,295.9,147.95,Europe
T00620,C0041,Lindsey Deleon,TechPro Textbook,Books,P049,01-05-2024 18:43,4,591.8,147.95,Europe
T00650,C0070,Timothy Perez,TechPro Textbook,Books,P049,10-07-2024 14:56,4,591.8,147.95,Europe
T00818,C0161,Jessica Warren,TechPro Textbook,Books,P049,01-01-2024 03:54,1,147.95,147.95,Asia
T00923,C0173,Francisco Young,TechPro Textbook,Books,P049,7/19/2024 10:31,1,147.95,147.95,Asia
T00970,C0132,Lisa Jackson,TechPro Textbook,Books,P049,11/17/2024 6:14,4,591.8,147.95,Europe
T00005,C0150,Angela Williams,TechPro Running Shoes,Clothing,P087,5/25/2024 17:44,2,580.34,290.17,South America
T00037,C0176,Nicole Booth,TechPro Running Shoes,Clothing,P087,03-09-2024 04:58,4,1160.68,290.17,North America
T00206,C0167,Brandy Welch,TechPro Running Shoes,Clothing,P087,05-05-2024 05:32,2,580.34,290.17,Europe
T00208,C0184,Tina Jacobs,TechPro Running Shoes,Clothing,P087,8/14/2024 2:02,1,290.17,290.17,South America
T00485,C0184,Tina Jacobs,TechPro Running Shoes,Clothing,P087,5/13/2024 14:33,1,290.17,290.17,South America
T00488,C0034,Dalton Perez,TechPro Running Shoes,Clothing,P087,10/21/2024 12:47,2,580.34,290.17,North America
T00497,C0053,Albert Burke,TechPro Running Shoes,Clothing,P087,6/21/2024 2:02,4,1160.68,290.17,Europe
T00684,C0102,Michael Atkinson,TechPro Running Shoes,Clothing,P087,7/17/2024 7:26,1,290.17,290.17,South America
T00846,C0134,Theresa Gonzalez,TechPro Running Shoes,Clothing,P087,11-10-2024 10:56,4,1160.68,290.17,Asia
T00875,C0086,Stephanie Peterson,TechPro Running Shoes,Clothing,P087,9/26/2024 23:20,2,580.34,290.17,Europe
T00880,C0036,Brian Aguilar DDS,TechPro Running Shoes,Clothing,P087,11-02-2024 12:20,3,870.51,290.17,North America
T00953,C0056,Erika Fernandez,TechPro Running Shoes,Clothing,P087,03-07-2024 21:09,2,580.34,290.17,Asia
T00006,C0076,Emily Roberts,TechPro Rug,Home Decor,P053,12-01-2024 20:44,3,824.82,274.94,South America
T00010,C0194,Stacy Cook,TechPro Rug,Home Decor,P053,3/14/2024 11:55,1,274.94,274.94,North America
T00175,C0146,Brittany Harvey,TechPro Rug,Home Decor,P053,12/18/2024 18:28,3,824.82,274.94,Asia
T00269,C0124,Lindsay Perez,TechPro Rug,Home Decor,P053,02-06-2024 16:22,4,1099.76,274.94,Europe
T00293,C0053,Albert Burke,TechPro Rug,Home Decor,P053,07-11-2024 15:32,3,824.82,274.94,Europe
T00568,C0065,Gerald Hines,TechPro Rug,Home Decor,P053,9/18/2024 5:00,1,274.94,274.94,North America
T00602,C0024,Michele Cooley,TechPro Rug,Home Decor,P053,4/26/2024 11:26,1,274.94,274.94,North America
T00744,C0004,Kathleen Rodriguez,TechPro Rug,Home Decor,P053,03-11-2024 09:25,4,1099.76,274.94,South America
T00952,C0139,Ricky Gutierrez,TechPro Rug,Home Decor,P053,10-06-2024 06:02,1,274.94,274.94,North America
T00968,C0133,Gwendolyn Carter,TechPro Rug,Home Decor,P053,12-05-2024 17:47,4,1099.76,274.94,South America
T00007,C0173,Francisco Young,ActiveWear Cookware Set,Home Decor,P023,05-06-2024 18:05,4,1818.12,454.53,Asia
T00089,C0076,Emily Roberts,ActiveWear Cookware Set,Home Decor,P023,6/19/2024 23:01,1,454.53,454.53,South America
T00158,C0012,Kevin May,ActiveWear Cookware Set,Home Decor,P023,5/30/2024 3:34,2,909.06,454.53,South America
T00349,C0184,Tina Jacobs,ActiveWear Cookware Set,Home Decor,P023,4/18/2024 14:56,1,454.53,454.53,South America
T00455,C0128,Henry Leach,ActiveWear Cookware Set,Home Decor,P023,01-08-2024 16:14,1,454.53,454.53,Asia
T00501,C0158,Wendy Browning,ActiveWear Cookware Set,Home Decor,P023,09-04-2024 16:19,3,1363.59,454.53,South America
T00721,C0012,Kevin May,ActiveWear Cookware Set,Home Decor,P023,12-08-2024 09:46,3,1363.59,454.53,South America
T00749,C0133,Gwendolyn Carter,ActiveWear Cookware Set,Home Decor,P023,6/20/2024 19:04,2,909.06,454.53,South America
T00997,C0164,Morgan Perez,ActiveWear Cookware Set,Home Decor,P023,11-01-2024 23:04,4,1818.12,454.53,Europe
T00008,C0067,Carl Gonzalez,BookWorld Biography,Books,P069,10/17/2024 0:45,1,100.81,100.81,North America
T00035,C0142,Nicole Long DVM,BookWorld Biography,Books,P069,8/20/2024 15:26,2,201.62,100.81,Asia
T00140,C0121,Mark Atkinson,BookWorld Biography,Books,P069,3/18/2024 9:16,2,201.62,100.81,Europe
T00187,C0032,Dustin Campbell,BookWorld Biography,Books,P069,2/24/2024 9:30,1,100.81,100.81,South America
T00194,C0063,Wayne Ferguson,BookWorld Biography,Books,P069,9/28/2024 6:07,1,100.81,100.81,Europe
T00228,C0113,Joseph Ortiz Jr.,BookWorld Biography,Books,P069,4/21/2024 19:52,2,201.62,100.81,South America
T00232,C0136,Kristen Holder,BookWorld Biography,Books,P069,11-10-2024 22:04,3,302.43,100.81,Asia
T00355,C0017,Jennifer King,BookWorld Biography,Books,P069,01-12-2024 20:20,2,201.62,100.81,Europe
T00448,C0194,Stacy Cook,BookWorld Biography,Books,P069,10/22/2024 8:13,2,201.62,100.81,North America
T00561,C0172,Jamie Webb,BookWorld Biography,Books,P069,5/14/2024 14:21,1,100.81,100.81,Europe
T00828,C0068,Mark Cox,BookWorld Biography,Books,P069,06-04-2024 21:07,4,403.24,100.81,North America
T00852,C0125,Nicholas Taylor,BookWorld Biography,Books,P069,8/24/2024 9:50,3,302.43,100.81,North America
T00009,C0086,Stephanie Peterson,BookWorld Cookware Set,Home Decor,P095,04-06-2024 03:41,4,909.04,227.26,Europe
T00155,C0002,Elizabeth Lutz,BookWorld Cookware Set,Home Decor,P095,07-12-2024 10:18,2,454.52,227.26,Asia
T00644,C0008,David Li,BookWorld Cookware Set,Home Decor,P095,6/13/2024 9:13,1,227.26,227.26,North America
T00685,C0017,Jennifer King,BookWorld Cookware Set,Home Decor,P095,05-11-2024 17:59,2,454.52,227.26,Europe
T00800,C0122,Corey Ruiz,BookWorld Cookware Set,Home Decor,P095,8/25/2024 16:04,3,681.78,227.26,North America
T00961,C0109,Abigail Jones,BookWorld Cookware Set,Home Decor,P095,11-02-2024 01:55,3,681.78,227.26,North America
T00965,C0071,Taylor Murphy,BookWorld Cookware Set,Home Decor,P095,8/23/2024 15:53,4,909.04,227.26,South America
T00011,C0162,Edwin Watson,HomeSense Novel,Books,P062,04-03-2024 03:46,1,374.16,374.16,Asia
T00041,C0141,Paul Parsons,HomeSense Novel,Books,P062,2/13/2024 23:56,4,1496.64,374.16,Europe
T00146,C0155,Michelle Brown,HomeSense Novel,Books,P062,7/24/2024 7:11,2,748.32,374.16,South America
T00190,C0156,William Adams,HomeSense Novel,Books,P062,9/25/2024 19:36,2,748.32,374.16,North America
T00221,C0188,Anna Ball,HomeSense Novel,Books,P062,2/28/2024 14:14,4,1496.64,374.16,South America
T00230,C0064,Martha Montgomery,HomeSense Novel,Books,P062,12-06-2024 16:22,1,374.16,374.16,Europe
T00364,C0183,Kimberly Johnson,HomeSense Novel,Books,P062,6/16/2024 8:22,2,748.32,374.16,North America
T00533,C0191,Samantha Gibson DVM,HomeSense Novel,Books,P062,07-12-2024 10:33,4,1496.64,374.16,South America
T00570,C0147,Hunter Fuller,HomeSense Novel,Books,P062,12/25/2024 0:52,1,374.16,374.16,South America
T00640,C0087,Travis Campbell,HomeSense Novel,Books,P062,9/13/2024 23:20,3,1122.48,374.16,South America
T00649,C0028,Jennifer Pena,HomeSense Novel,Books,P062,1/23/2024 7:39,3,1122.48,374.16,Asia
T00664,C0138,Cynthia Clayton,HomeSense Novel,Books,P062,10-02-2024 22:44,4,1496.64,374.16,Asia
T00692,C0153,Justin Smith,HomeSense Novel,Books,P062,6/30/2024 22:09,2,748.32,374.16,South America
T00723,C0043,Sandy Short MD,HomeSense Novel,Books,P062,06-12-2024 01:39,2,748.32,374.16,Asia
T00725,C0135,Toni Weaver,HomeSense Novel,Books,P062,10-03-2024 20:53,2,748.32,374.16,Europe
T00944,C0122,Corey Ruiz,HomeSense Novel,Books,P062,10-08-2024 19:57,2,748.32,374.16,North America
T00012,C0091,Lisa Kirk,ComfortLiving Smartphone,Electronics,P041,3/29/2024 1:28,4,1825.12,456.28,South America
T00034,C0168,Karen Clements MD,ComfortLiving Smartphone,Electronics,P041,01-09-2024 11:00,4,1825.12,456.28,South America
T00094,C0012,Kevin May,ComfortLiving Smartphone,Electronics,P041,7/14/2024 19:37,4,1825.12,456.28,South America
T00231,C0069,Stacy Foster,ComfortLiving Smartphone,Electronics,P041,8/27/2024 19:54,2,912.56,456.28,Europe
T00236,C0184,Tina Jacobs,ComfortLiving Smartphone,Electronics,P041,2/25/2024 14:08,1,456.28,456.28,South America
T00261,C0125,Nicholas Taylor,ComfortLiving Smartphone,Electronics,P041,2/20/2024 6:00,2,912.56,456.28,North America
T00343,C0173,Francisco Young,ComfortLiving Smartphone,Electronics,P041,01-02-2024 11:54,1,456.28,456.28,Asia
T00482,C0066,Catherine White,ComfortLiving Smartphone,Electronics,P041,06-04-2024 02:02,4,1825.12,456.28,Europe
T00589,C0186,Amber Alexander,ComfortLiving Smartphone,Electronics,P041,10/23/2024 16:42,1,456.28,456.28,Asia
T00597,C0023,Nicholas Cain,ComfortLiving Smartphone,Electronics,P041,07-01-2024 04:53,3,1368.84,456.28,Europe
T00881,C0101,Kelsey Roberts,ComfortLiving Smartphone,Electronics,P041,8/19/2024 4:22,3,1368.84,456.28,Asia
T00014,C0105,Ryan Hampton,HomeSense T-Shirt,Clothing,P060,08-05-2024 07:35,1,155.65,155.65,Europe
T00392,C0072,Sarah Scott,HomeSense T-Shirt,Clothing,P060,11-02-2024 20:33,4,622.6,155.65,North America
T00405,C0093,Nancy Walker,HomeSense T-Shirt,Clothing,P060,08-02-2024 21:41,2,311.3,155.65,Asia
T00452,C0009,Joy Clark,HomeSense T-Shirt,Clothing,P060,3/16/2024 17:26,1,155.65,155.65,Europe
T00642,C0162,Edwin Watson,HomeSense T-Shirt,Clothing,P060,08-06-2024 20:12,4,622.6,155.65,Asia
T00768,C0083,Christina Stark,HomeSense T-Shirt,Clothing,P060,12/17/2024 13:01,1,155.65,155.65,South America
T00015,C0001,Lawrence Carroll,SoundWave Cookbook,Books,P054,1/19/2024 3:12,2,114.6,57.3,South America
T00053,C0039,Angela Harris,SoundWave Cookbook,Books,P054,9/30/2024 14:42,3,171.9,57.3,South America
T00203,C0124,Lindsay Perez,SoundWave Cookbook,Books,P054,3/31/2024 16:50,4,229.2,57.3,Europe
T00210,C0165,Juan Mcdaniel,SoundWave Cookbook,Books,P054,8/15/2024 15:59,2,114.6,57.3,South America
T00262,C0143,Brian Parker,SoundWave Cookbook,Books,P054,1/30/2024 22:40,1,57.3,57.3,Asia
T00327,C0165,Juan Mcdaniel,SoundWave Cookbook,Books,P054,11/27/2024 10:42,2,114.6,57.3,South America
T00395,C0038,Jeffrey Perkins,SoundWave Cookbook,Books,P054,3/14/2024 8:10,3,171.9,57.3,North America
T00423,C0019,Brandon Rodriguez,SoundWave Cookbook,Books,P054,11-08-2024 10:22,3,171.9,57.3,Europe
T00581,C0083,Christina Stark,SoundWave Cookbook,Books,P054,11/13/2024 4:56,2,114.6,57.3,South America
T00634,C0073,Heidi Johnson,SoundWave Cookbook,Books,P054,3/20/2024 2:37,4,229.2,57.3,Europe
T00699,C0156,William Adams,SoundWave Cookbook,Books,P054,4/21/2024 22:39,3,171.9,57.3,North America
T00784,C0047,Samantha Frank,SoundWave Cookbook,Books,P054,8/23/2024 9:06,3,171.9,57.3,North America
T00808,C0190,Alexander Lowe,SoundWave Cookbook,Books,P054,07-06-2024 00:13,4,229.2,57.3,South America
T00873,C0086,Stephanie Peterson,SoundWave Cookbook,Books,P054,08-02-2024 11:13,4,229.2,57.3,Europe
T00884,C0171,Michael Cowan,SoundWave Cookbook,Books,P054,1/28/2024 18:40,3,171.9,57.3,South America
T00926,C0181,Alexander Barker,SoundWave Cookbook,Books,P054,8/16/2024 2:29,3,171.9,57.3,South America
T00016,C0072,Sarah Scott,HomeSense T-Shirt,Clothing,P070,07-05-2024 23:04,2,97.38,48.69,North America
T00087,C0108,David Davis,HomeSense T-Shirt,Clothing,P070,2/16/2024 19:58,1,48.69,48.69,South America
T00098,C0090,Charles Hamilton,HomeSense T-Shirt,Clothing,P070,8/28/2024 2:11,3,146.07,48.69,Asia
T00281,C0126,Caitlin Brown,HomeSense T-Shirt,Clothing,P070,9/24/2024 16:29,1,48.69,48.69,South America
T00750,C0056,Erika Fernandez,HomeSense T-Shirt,Clothing,P070,12/25/2024 21:16,4,194.76,48.69,Asia
T00762,C0106,Amanda Mcguire,HomeSense T-Shirt,Clothing,P070,11-01-2024 09:20,4,194.76,48.69,Asia
T00018,C0166,John Rogers,ComfortLiving Smartwatch,Electronics,P010,9/21/2024 22:21,3,1050.39,350.13,Europe
T00068,C0088,Carlos Murray,ComfortLiving Smartwatch,Electronics,P010,9/22/2024 23:11,3,1050.39,350.13,Asia
T00243,C0069,Stacy Foster,ComfortLiving Smartwatch,Electronics,P010,8/31/2024 0:38,2,700.26,350.13,Europe
T00276,C0113,Joseph Ortiz Jr.,ComfortLiving Smartwatch,Electronics,P010,11/27/2024 17:12,3,1050.39,350.13,South America
T00292,C0086,Stephanie Peterson,ComfortLiving Smartwatch,Electronics,P010,12/26/2024 2:30,2,700.26,350.13,Europe
T00315,C0125,Nicholas Taylor,ComfortLiving Smartwatch,Electronics,P010,04-03-2024 21:46,3,1050.39,350.13,North America
T00372,C0192,Sarah Arias,ComfortLiving Smartwatch,Electronics,P010,7/22/2024 10:55,1,350.13,350.13,South America
T00516,C0074,Jonathan Russo,ComfortLiving Smartwatch,Electronics,P010,7/29/2024 6:11,1,350.13,350.13,Europe
T00710,C0162,Edwin Watson,ComfortLiving Smartwatch,Electronics,P010,1/13/2024 9:31,1,350.13,350.13,Asia
T00830,C0048,Matthew Park,ComfortLiving Smartwatch,Electronics,P010,1/28/2024 9:13,2,700.26,350.13,South America
T00986,C0122,Corey Ruiz,ComfortLiving Smartwatch,Electronics,P010,5/20/2024 10:52,2,700.26,350.13,North America
T00019,C0006,Brittany Palmer,SoundWave Mystery Book,Books,P040,06-05-2024 01:19,2,306.38,153.19,South America
T00137,C0142,Nicole Long DVM,SoundWave Mystery Book,Books,P040,04-03-2024 12:44,4,612.76,153.19,Asia
T00347,C0139,Ricky Gutierrez,SoundWave Mystery Book,Books,P040,1/24/2024 21:50,2,306.38,153.19,North America
T00359,C0048,Matthew Park,SoundWave Mystery Book,Books,P040,12-04-2024 20:50,4,612.76,153.19,South America
T00406,C0171,Michael Cowan,SoundWave Mystery Book,Books,P040,2/18/2024 0:12,2,306.38,153.19,South America
T00538,C0119,David Armstrong,SoundWave Mystery Book,Books,P040,4/26/2024 17:37,2,306.38,153.19,Europe
T00637,C0184,Tina Jacobs,SoundWave Mystery Book,Books,P040,09-08-2024 08:52,3,459.57,153.19,South America
T00704,C0186,Amber Alexander,SoundWave Mystery Book,Books,P040,6/21/2024 7:59,4,612.76,153.19,Asia
T00910,C0071,Taylor Murphy,SoundWave Mystery Book,Books,P040,5/22/2024 3:47,1,153.19,153.19,South America
T00930,C0193,Douglas Torres,SoundWave Mystery Book,Books,P040,5/27/2024 9:32,2,306.38,153.19,Asia
T00936,C0148,Matthew Rogers,SoundWave Mystery Book,Books,P040,06-11-2024 20:36,4,612.76,153.19,South America
T00993,C0027,Justin Heath,SoundWave Mystery Book,Books,P040,03-08-2024 09:48,2,306.38,153.19,Asia
T00995,C0191,Samantha Gibson DVM,SoundWave Mystery Book,Books,P040,06-04-2024 06:32,4,612.76,153.19,South America
T00020,C0153,Justin Smith,SoundWave Cookbook,Books,P007,7/16/2024 22:33,4,1680.6,420.15,South America
T00163,C0101,Kelsey Roberts,SoundWave Cookbook,Books,P007,3/13/2024 22:33,4,1680.6,420.15,Asia
T00204,C0161,Jessica Warren,SoundWave Cookbook,Books,P007,1/31/2024 1:11,2,840.3,420.15,Asia
T00309,C0103,Jennifer Munoz,SoundWave Cookbook,Books,P007,8/28/2024 5:03,2,840.3,420.15,Europe
T00421,C0047,Samantha Frank,SoundWave Cookbook,Books,P007,01-04-2024 07:47,1,420.15,420.15,North America
T00565,C0156,William Adams,SoundWave Cookbook,Books,P007,12/15/2024 0:35,2,840.3,420.15,North America
T00741,C0079,Brian Murillo,SoundWave Cookbook,Books,P007,2/22/2024 15:13,2,840.3,420.15,North America
T00945,C0193,Douglas Torres,SoundWave Cookbook,Books,P007,5/22/2024 21:58,3,1260.45,420.15,Asia
T00021,C0145,Wayne Stone,TechPro Vase,Home Decor,P038,01-11-2024 09:47,2,294.44,147.22,Asia
T00032,C0109,Abigail Jones,TechPro Vase,Home Decor,P038,11-07-2024 01:47,4,588.88,147.22,North America
T00251,C0004,Kathleen Rodriguez,TechPro Vase,Home Decor,P038,08-03-2024 06:21,3,441.66,147.22,South America
T00323,C0082,Aimee Taylor,TechPro Vase,Home Decor,P038,9/22/2024 7:51,4,588.88,147.22,South America
T00374,C0181,Alexander Barker,TechPro Vase,Home Decor,P038,12/27/2024 17:31,2,294.44,147.22,South America
T00432,C0065,Gerald Hines,TechPro Vase,Home Decor,P038,12/13/2024 21:18,3,441.66,147.22,North America
T00434,C0025,Gregory Odom,TechPro Vase,Home Decor,P038,05-09-2024 03:14,4,588.88,147.22,South America
T00726,C0111,Roger David,TechPro Vase,Home Decor,P038,12-12-2024 18:56,1,147.22,147.22,Europe
T00728,C0160,Jodi Cook,TechPro Vase,Home Decor,P038,02-08-2024 22:57,1,147.22,147.22,North America
T00785,C0159,Austin Miller,TechPro Vase,Home Decor,P038,3/26/2024 0:51,1,147.22,147.22,Asia
T00814,C0093,Nancy Walker,TechPro Vase,Home Decor,P038,09-08-2024 16:26,1,147.22,147.22,Asia
T00863,C0008,David Li,TechPro Vase,Home Decor,P038,11-08-2024 20:46,1,147.22,147.22,North America
T00913,C0117,Jeffrey Mcmahon,TechPro Vase,Home Decor,P038,02-08-2024 17:57,1,147.22,147.22,North America
T00022,C0061,Brandon Escobar,BookWorld Biography,Books,P085,8/19/2024 8:16,3,1249.05,416.35,Europe
T00052,C0090,Charles Hamilton,BookWorld Biography,Books,P085,2/25/2024 18:56,3,1249.05,416.35,Asia
T00330,C0028,Jennifer Pena,BookWorld Biography,Books,P085,5/15/2024 10:49,3,1249.05,416.35,Asia
T00401,C0189,Sherri Dixon,BookWorld Biography,Books,P085,11-11-2024 16:53,3,1249.05,416.35,North America
T00435,C0037,Linda Smith,BookWorld Biography,Books,P085,5/16/2024 16:00,4,1665.4,416.35,Europe
T00475,C0145,Wayne Stone,BookWorld Biography,Books,P085,9/28/2024 22:39,2,832.7,416.35,Asia
T00504,C0021,Robert Blanchard,BookWorld Biography,Books,P085,04-05-2024 03:20,1,416.35,416.35,Asia
T00829,C0099,Rodney Eaton,BookWorld Biography,Books,P085,12/23/2024 18:22,4,1665.4,416.35,South America
T00023,C0012,Kevin May,HomeSense Desk Lamp,Home Decor,P061,6/18/2024 10:55,4,627.84,156.96,South America
T00128,C0167,Brandy Welch,HomeSense Desk Lamp,Home Decor,P061,10-01-2024 14:05,3,470.88,156.96,Europe
T00361,C0052,Stanley Aguirre,HomeSense Desk Lamp,Home Decor,P061,09-01-2024 11:18,4,627.84,156.96,South America
T00403,C0114,Benjamin Anderson,HomeSense Desk Lamp,Home Decor,P061,2/21/2024 15:52,4,627.84,156.96,Europe
T00422,C0163,Tiffany Cain,HomeSense Desk Lamp,Home Decor,P061,05-11-2024 07:45,3,470.88,156.96,South America
T00458,C0102,Michael Atkinson,HomeSense Desk Lamp,Home Decor,P061,6/25/2024 22:40,1,156.96,156.96,South America
T00476,C0119,David Armstrong,HomeSense Desk Lamp,Home Decor,P061,02-07-2024 04:03,1,156.96,156.96,Europe
T00553,C0038,Jeffrey Perkins,HomeSense Desk Lamp,Home Decor,P061,12-12-2024 18:55,1,156.96,156.96,North America
T00655,C0182,Joshua Preston,HomeSense Desk Lamp,Home Decor,P061,4/28/2024 2:14,4,627.84,156.96,Europe
T00696,C0065,Gerald Hines,HomeSense Desk Lamp,Home Decor,P061,03-05-2024 18:21,3,470.88,156.96,North America
T00731,C0200,Kelly Cross,HomeSense Desk Lamp,Home Decor,P061,7/15/2024 20:36,4,627.84,156.96,Asia
T00791,C0052,Stanley Aguirre,HomeSense Desk Lamp,Home Decor,P061,01-09-2024 13:32,2,313.92,156.96,South America
T00795,C0178,Carol Williams,HomeSense Desk Lamp,Home Decor,P061,12/21/2024 0:45,1,156.96,156.96,Asia
T00834,C0090,Charles Hamilton,HomeSense Desk Lamp,Home Decor,P061,5/16/2024 1:56,3,470.88,156.96,Asia
T00840,C0018,Tyler Haynes,HomeSense Desk Lamp,Home Decor,P061,3/28/2024 17:43,3,470.88,156.96,North America
T00869,C0081,Kimberly Turner,HomeSense Desk Lamp,Home Decor,P061,12/30/2023 15:29,2,313.92,156.96,Europe
T00024,C0006,Brittany Palmer,ActiveWear Wall Art,Home Decor,P084,6/13/2024 10:35,3,1013.73,337.91,South America
T00100,C0197,Christina Harvey,ActiveWear Wall Art,Home Decor,P084,05-08-2024 15:48,3,1013.73,337.91,Europe
T00202,C0100,Clinton Gomez,ActiveWear Wall Art,Home Decor,P084,1/31/2024 14:10,1,337.91,337.91,Europe
T00235,C0116,James Martinez,ActiveWear Wall Art,Home Decor,P084,1/31/2024 11:17,2,675.82,337.91,North America
T00265,C0122,Corey Ruiz,ActiveWear Wall Art,Home Decor,P084,3/19/2024 0:50,1,337.91,337.91,North America
